#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
AM|R43A3|27.9775|83.1218|971.0|Raspberry Shake Citizen Science Station|2020-03-08T09:22:13|2020-05-21T17:00:28
AM|R43A3|27.977|83.1218|670.0|Raspberry Shake Citizen Science Station|2020-11-29T03:47:24|2020-12-22T17:00:39
AM|R43A3|27.977|83.1218|670.0|Raspberry Shake Citizen Science Station|2020-12-23T01:31:39|2599-12-31T23:59:59
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2019-05-07T11:58:06|2019-06-09T17:00:05
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2019-06-16T10:25:27|2019-07-15T17:00:07
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2019-07-16T06:31:14|2019-08-17T17:00:15
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2019-08-23T05:11:45|2019-09-19T17:00:07
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2019-09-23T04:31:44|2020-01-17T17:00:14
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-01-28T06:52:44|2020-03-31T17:00:21
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-04-01T06:43:16|2020-04-04T17:00:20
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-04-05T08:08:43|2020-04-15T17:00:23
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-04-16T03:55:11|2020-04-16T17:00:23
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-04-17T08:41:38|2020-05-01T17:00:24
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-05-03T08:05:21|2020-05-05T17:00:24
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-05-06T11:16:08|2020-07-11T17:00:27
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-07-14T07:16:58|2020-08-04T17:00:30
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-08-05T19:30:39|2020-09-05T17:00:40
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-09-05T19:12:58|2020-10-26T17:00:52
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-11-23T04:04:20|2020-12-14T17:00:35
AM|R51F6|27.6493|84.1297|189.0|Raspberry Shake Citizen Science Station|2020-12-24T06:04:46|2599-12-31T23:59:59
AM|R623F|33.8727|82.2275|300.0|Raspberry Shake Citizen Science Station|2020-02-09T21:05:03|2020-02-09T23:00:15
AM|R6EC4|27.7039|84.4022|174.0|Raspberry Shake Citizen Science Station|2019-05-08T16:40:11|2020-05-12T17:00:27
AM|R6EC4|27.7039|84.4022|174.0|Raspberry Shake Citizen Science Station|2020-06-16T10:03:31|2020-10-28T17:00:47
AM|R6EC4|27.7039|84.4022|174.0|Raspberry Shake Citizen Science Station|2020-11-04T06:31:58|2599-12-31T23:59:59
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2019-04-27T07:00:00|2020-03-25T17:00:25
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2020-03-27T06:28:13|2020-09-02T17:00:48
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2020-09-17T08:57:17|2020-10-31T18:26:17
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2020-11-01T20:13:15|2020-11-29T17:00:53
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2020-12-05T05:37:43|2021-01-20T17:00:47
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2021-01-21T08:59:31|2021-01-30T17:01:00
AM|R7173|28.3446|83.5698|865.0|Raspberry Shake Citizen Science Station|2021-02-07T05:19:42|2021-02-24T17:04:07
AM|R732B|28.2145|83.6792|847.0|Raspberry Shake Citizen Science Station|2019-04-26T03:15:49|2020-05-21T17:00:30
AM|R732B|28.2145|83.6792|847.0|Raspberry Shake Citizen Science Station|2020-05-26T20:00:54|2599-12-31T23:59:59
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-05-21T10:53:01|2019-06-30T17:00:08
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-07-02T06:09:01|2019-08-12T17:00:08
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-08-12T23:50:15|2019-08-20T17:00:07
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-08-21T05:03:04|2019-09-02T17:00:09
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-10-18T02:05:03|2019-10-24T17:00:09
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2019-10-28T02:43:09|2019-12-17T17:00:12
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2020-01-05T05:22:51|2020-01-10T17:00:17
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2020-02-12T09:37:48|2020-02-24T17:00:20
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2020-02-27T11:44:51|2020-03-08T17:00:21
AM|R8328|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2020-03-20T14:10:06|2020-04-10T17:00:29
AM|R8328|28.7835|83.7382|2728.0|Raspberry Shake Citizen Science Station|2020-12-28T10:19:49|2021-01-01T05:51:48
AM|R8328|28.3326|83.9661|1225.0|Raspberry Shake Citizen Science Station|2021-01-01T05:51:48|2021-02-16T17:01:02
AM|R8328|28.3326|83.9661|1225.0|Raspberry Shake Citizen Science Station|2021-02-21T04:57:58|2021-02-25T17:01:04
AM|R8328|28.3326|83.9661|1225.0|Raspberry Shake Citizen Science Station|2021-03-01T07:53:04|2599-12-31T23:59:59
AM|R8618|28.2043|84.394|747.0|Raspberry Shake Citizen Science Station|2019-04-22T11:16:00|2019-07-30T17:00:10
AM|R8618|28.2043|84.394|747.0|Raspberry Shake Citizen Science Station|2019-08-04T05:29:48|2019-09-30T17:00:13
AM|R8618|28.2043|84.394|747.0|Raspberry Shake Citizen Science Station|2019-10-01T09:29:50|2019-11-02T17:00:29
